source_protein_id	source_header	sequence_length	sequence_sha256	header_fgsg_id	legacy_protein_accession	legacy_seq_match_count	fgsg_candidate_count	unified_candidate_count	resolved_canonical_gene_id	bridge_status	bridge_method	mapping_confidence
XP_011317430.1	XP_011317430.1 pectin lyase B precursor [Fusarium graminearum PH-1]	375	03750fa86aee5752828f722e88cefc6749fb197ddcad47fbc41906c7ffcd1373		I1RDB3	1	0	1	fgraminearum::FGRAMPH1_01G03929	resolved	exact_sequence_plus_unified_support	
XP_011317431.1	XP_011317431.1 hypothetical protein FGSG_01608 [Fusarium graminearum PH-1]	370	041038a0fbe87d8a94666026056bf9ddb8d7bd4afb628089132027ee5a7fe3b7	FGSG_01608		0	1	1	fgraminearum::FGRAMPH1_01G03931	resolved	unified_plus_fgsg_support	
XP_011317432.1	XP_011317432.1 hypothetical protein FGSG_01609 [Fusarium graminearum PH-1]	481	58acf2465f57dffd6cfd26859cdd89ada8c282ad6878bd3fa60a059d5db18f50	FGSG_01609	I1RDB5	1	1	1	fgraminearum::FGRAMPH1_01G03933	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317433.1	XP_011317433.1 hypothetical protein FGSG_01610 [Fusarium graminearum PH-1]	339	23434a1a1b9d9381175f2a6ee7c19aa0f9f3df26841a8b46722a3abd71039385	FGSG_01610		0	1	1	fgraminearum::FGRAMPH1_01G03935	resolved	unified_plus_fgsg_support	
XP_011317434.1	XP_011317434.1 hypothetical protein FGSG_01611 [Fusarium graminearum PH-1]	290	c5484df941e9f1f30e506bb3093f5812e48e29959210510012490ceaa0bbdfa0	FGSG_01611	I1RDB7	1	1	1	fgraminearum::FGRAMPH1_01G03937	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317435.1	XP_011317435.1 hypothetical protein FGSG_01612 [Fusarium graminearum PH-1]	944	f9d67972866cfe2733ee9a37b587c67c9c2f4fdf37edb7d5c76dd1ab5611cbad	FGSG_01612		0	1	1	fgraminearum::FGRAMPH1_01G03939	resolved	unified_plus_fgsg_support	
XP_011317436.1	XP_011317436.1 hypothetical protein FGSG_01613 [Fusarium graminearum PH-1]	385	6c3e9fc120872bdea643cdc305fd3ca2011d408b25d3124aec123e6da5563990	FGSG_01613	I1RDB9	1	1	1	fgraminearum::FGRAMPH1_01G03941	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317437.1	XP_011317437.1 hypothetical protein FGSG_01614 [Fusarium graminearum PH-1]	857	a7d8ddcc0e9befec0528724cfdfc1bd8980fe48d8eab03ce158389fb3036fc21	FGSG_01614	I1RDC0	1	1	1	fgraminearum::FGRAMPH1_01G03943	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317438.1	XP_011317438.1 hypothetical protein FGSG_01615 [Fusarium graminearum PH-1]	314	f845d90d8395bb94b3bf7d4033ccdbf0eac6eb0bfa251d817fdc532a6b69fe9a	FGSG_01615	I1RDC1	1	1	1	fgraminearum::FGRAMPH1_01G03945	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317439.1	XP_011317439.1 hypothetical protein FGSG_01616 [Fusarium graminearum PH-1]	372	1fc401b1d7f924de20d5e6a74962dfd2137b52133493806e8ed3f357486e5e55	FGSG_01616	I1RDC2	1	1	1	fgraminearum::FGRAMPH1_01G03947	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317440.1	XP_011317440.1 hypothetical protein FGSG_01617 [Fusarium graminearum PH-1]	131	5faa37d695aa6e58cc7ffb07acb6063876d6278f80f358ef6039abf5a0fd3176	FGSG_01617	I1RDC3	1	1	1	fgraminearum::FGRAMPH1_01G03949	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317441.1	XP_011317441.1 hypothetical protein FGSG_11980 [Fusarium graminearum PH-1]	288	767a70880b5608ac639daf95df359cbc6df8b2e4eefafacacaa48c92da687889	FGSG_11980		0	1	1	fgraminearum::FGRAMPH1_01G03951	resolved	unified_plus_fgsg_support	
XP_011317442.1	XP_011317442.1 hypothetical protein FGSG_11981 [Fusarium graminearum PH-1]	221	b1364d10967ea13c8df0132ac60eac32ef1148b687379dcd23e4637e62720d00	FGSG_11981		0	1	1	fgraminearum::FGRAMPH1_01G03951	resolved	unified_plus_fgsg_support	
XP_011317443.1	XP_011317443.1 hypothetical protein FGSG_01618 [Fusarium graminearum PH-1]	297	09ed34cb82404a6695c6d593e795e7b85528f11e561243a88ba3589e78a64350	FGSG_01618	I1RDC4	1	1	1	fgraminearum::FGRAMPH1_01G03953	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317444.1	XP_011317444.1 hypothetical protein FGSG_01619 [Fusarium graminearum PH-1]	831	dafe504eb9e6c89d762f148ce5978ddbe42be2780a04858d2cf975641e168cce	FGSG_01619	I1RDC5	1	1	1	fgraminearum::FGRAMPH1_01G03955	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317445.1	XP_011317445.1 hypothetical protein FGSG_01620 [Fusarium graminearum PH-1]	356	e45d2f786c8a69376e2439638ce44912ebda9b43697739f3ac5c8fa599159c49	FGSG_01620		0	1	1	fgraminearum::FGRAMPH1_01G03957	resolved	unified_plus_fgsg_support	
XP_011317446.1	XP_011317446.1 endoglucanase 3 precursor [Fusarium graminearum PH-1]	335	80a81316c55facae584826a963ea7a9b02944ea385cdf5344ef502ec63467527		I1RDC7	1	0	1	fgraminearum::FGRAMPH1_01G03959	resolved	exact_sequence_plus_unified_support	
XP_011317447.1	XP_011317447.1 ribosomal protein S19 [Fusarium graminearum PH-1]	97	2f6d1f3cafb081c87cc2c6f35e48dfdeef09ff4c0a44a015e69a589cfaa7691e			0	0	0		unresolved	no_sequence_or_fgsg_bridge	unresolved
XP_011317448.1	XP_011317448.1 transcription initiation factor TFIID subunit 10 [Fusarium graminearum PH-1]	190	76f8e561bdff11f51540b76106064457f9b2a50bbd3eb7fb48b8c1da127a9db9		I1RDC9	1	0	1	fgraminearum::FGRAMPH1_01G03963	resolved	exact_sequence_plus_unified_support	
XP_011317449.1	XP_011317449.1 ER lumen protein retaining receptor 1 [Fusarium graminearum PH-1]	215	d38608d9d811358274fb0322fd7b71a8f6af80caa3c05f11e54dcf459a2b32c1		I1RDD0	1	0	1	fgraminearum::FGRAMPH1_01G03965	resolved	exact_sequence_plus_unified_support	
XP_011317450.1	XP_011317450.1 hypothetical protein FGSG_01626 [Fusarium graminearum PH-1]	266	83f3b6ba8c5d558d87cb97a01d99f5b5068798c05209eb50bcabb77d3dbe431c	FGSG_01626	I1RDD1	1	1	1	fgraminearum::FGRAMPH1_01G03971	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317451.1	XP_011317451.1 histone H2A.Z [Fusarium graminearum PH-1]	144	173d3c9ff2543910110dee581a37e69fbbddf2946fe581a939f190dadbf0406a		Q4IMD1	1	0	1	fgraminearum::FGRAMPH1_01G03973	resolved	ncbi_protein_id_via_unified_map	
XP_011317452.1	XP_011317452.1 hypothetical protein FGSG_01628 [Fusarium graminearum PH-1]	109	0acc4c69550dea9f2720a731ad0921884bb19fe4d24ca2dc191c14f8891188b2	FGSG_01628	I1RDD2	1	1	1	fgraminearum::FGRAMPH1_01G03975	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317453.1	XP_011317453.1 hypothetical protein FGSG_01629 [Fusarium graminearum PH-1]	622	0a2084c44baad5af471607a9b4c5b3aedc24240a1a51f79e6e4e9776ab261bfa	FGSG_01629	I1RDD3	1	1	1	fgraminearum::FGRAMPH1_01G03977	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317454.1	XP_011317454.1 hypothetical protein FGSG_01630 [Fusarium graminearum PH-1]	362	79d29a7a3d702d97d1f24a23e8bb29e2a04e87daeaf2f8242ea704cbcf48c95d	FGSG_01630	I1RDD4	1	1	1	fgraminearum::FGRAMPH1_01G03979	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317455.1	XP_011317455.1 hypothetical protein FGSG_01631 [Fusarium graminearum PH-1]	343	f9c991e718f3b2fed63c264ab996a04e23ef617e66e7ffaaf9e4da6783c96376	FGSG_01631	I1RDD5	1	1	1	fgraminearum::FGRAMPH1_01G03981	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317456.1	XP_011317456.1 hypothetical protein FGSG_01632 [Fusarium graminearum PH-1]	1595	d7d69d98e9eaf4ee20f850914454d73a66c5f29ec1808f189077b5ba95f8c92e	FGSG_01632	I1RDD6	1	1	1	fgraminearum::FGRAMPH1_01G03983	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317457.1	XP_011317457.1 hypothetical protein FGSG_01633 [Fusarium graminearum PH-1]	143	b6afd6aeeba512b81b1efa5ad1965166f5f794c1a344fc148885cd7d8f9e60f5	FGSG_01633	I1RDD7	1	1	1	fgraminearum::FGRAMPH1_01G03985	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317458.1	XP_011317458.1 hypothetical protein FGSG_01634 [Fusarium graminearum PH-1]	1153	1ae062442c482086990a8a60492d47628985d2c1869f7ae448afe54b175e55c5	FGSG_01634	I1RDD8	1	1	1	fgraminearum::FGRAMPH1_01G03987	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317459.1	XP_011317459.1 hypothetical protein FGSG_01635 [Fusarium graminearum PH-1]	386	72ed9d18c875a394f7c13018135878f89cda527e3816501f8b028157951f18fd	FGSG_01635	I1RDD9	1	1	1	fgraminearum::FGRAMPH1_01G03989	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317460.1	XP_011317460.1 hypothetical protein FGSG_01636 [Fusarium graminearum PH-1]	541	4ecfd53fb50ac4ecce6530c3451212fa9bd67896c595a214c1f7a1a2880d8761	FGSG_01636	I1RDE0	1	1	1	fgraminearum::FGRAMPH1_01G03991	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317461.1	XP_011317461.1 hypothetical protein FGSG_11982 [Fusarium graminearum PH-1]	109	959cdb197c9f977e895e030b577303e12ac446a47cb43e507b6be2e76d94ad81	FGSG_11982	I1S564	1	1	1	fgraminearum::FGRAMPH1_01G03993	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317462.1	XP_011317462.1 hypothetical protein FGSG_01637 [Fusarium graminearum PH-1]	442	1ab0aa5ecd451dad1c14d660230020815561dd7c2682fd140fdfb4af83848458	FGSG_01637		0	1	1	fgraminearum::FGRAMPH1_01G03995	resolved	unified_plus_fgsg_support	
XP_011317463.1	XP_011317463.1 hypothetical protein FGSG_01638 [Fusarium graminearum PH-1]	981	f2e5bc08c541cf2c6442ee76353e2a217ddd62f2ff47aa3887f4dacf347cf51c	FGSG_01638	I1RDE2	1	1	1	fgraminearum::FGRAMPH1_01G03997	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317464.1	XP_011317464.1 hypothetical protein FGSG_01639 [Fusarium graminearum PH-1]	274	a9ff6ccfff0bd0e1dea79e3a603ee5830637bdfb7e463230e91e7e9ac0b9d6ac	FGSG_01639	I1RDE3	1	1	1	fgraminearum::FGRAMPH1_01G03999	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317465.1	XP_011317465.1 alpha-1,3-mannosyltransferase alg-2 [Fusarium graminearum PH-1]	473	9cc880ff5a85dda3bbcd5f8f44b27004face9d81d3ecd771ace0f398c1beb809		I1RDE4	1	0	1	fgraminearum::FGRAMPH1_01G04001	resolved	exact_sequence_plus_unified_support	
XP_011317466.1	XP_011317466.1 hypothetical protein FGSG_01641 [Fusarium graminearum PH-1]	1031	7074635a7da2ce47d5657577e42750ea1b15404779815c8f26b14d6bb7e78bcd	FGSG_01641		0	1	1	fgraminearum::FGRAMPH1_01G04003	resolved	unified_plus_fgsg_support	
XP_011317467.1	XP_011317467.1 hypothetical protein FGSG_01642 [Fusarium graminearum PH-1]	399	f084b3e0ffde18e5c9d521e908655567e570f28d76cce68899f18c389cf729c5	FGSG_01642	I1RDE6	1	1	1	fgraminearum::FGRAMPH1_01G04009	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317468.1	XP_011317468.1 chorismate synthase [Fusarium graminearum PH-1]	395	fc8ec81a518069336468cae96eb311b0325c6c8a9a146792a1dc859f4bd1251e		I1RDE7	1	0	1	fgraminearum::FGRAMPH1_01G04011	resolved	exact_sequence_plus_unified_support	
XP_011317469.1	XP_011317469.1 hypothetical protein FGSG_01644 [Fusarium graminearum PH-1]	1047	dee840b23020fceeea49516f285cc1b6854d3b67af73e3829900683f71938002	FGSG_01644	I1RDE8	1	1	1	fgraminearum::FGRAMPH1_01G04013	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317470.1	XP_011317470.1 hypothetical protein FGSG_01645 [Fusarium graminearum PH-1]	1801	1e9d0d694b7a4462c2020dd54813d0e97ab8fcc9452e671a97f17d38b9dfdd89	FGSG_01645	I1RDE9	1	1	1	fgraminearum::FGRAMPH1_01G04015	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317471.1	XP_011317471.1 hypothetical protein FGSG_01646 [Fusarium graminearum PH-1]	615	0a56a6ec990e7248d53941629c306f47e057f62164143cc400d99b79deac3510	FGSG_01646		0	1	1	fgraminearum::FGRAMPH1_01G04017	resolved	unified_plus_fgsg_support	
XP_011317472.1	XP_011317472.1 hypothetical protein FGSG_01647 [Fusarium graminearum PH-1]	999	fb7ffd1796de03feefca2c6641ffe459bcc8c19e7a5c1332fc96ac86f11e9f72	FGSG_01647		0	1	1	fgraminearum::FGRAMPH1_01G04019	resolved	unified_plus_fgsg_support	
XP_011317473.1	XP_011317473.1 hypothetical protein FGSG_01648 [Fusarium graminearum PH-1]	510	2c897439df3a8882ce7be1d9a3cc9205d0e854f30e96abcb1fcbc00960852365	FGSG_01648		0	1	1	fgraminearum::FGRAMPH1_01G04021	resolved	unified_plus_fgsg_support	
XP_011317474.1	XP_011317474.1 hypothetical protein FGSG_01649 [Fusarium graminearum PH-1]	316	25d201ee5d1acd217f0d7a6855b1af7a0c32e00ec22e752656ccc941f4f0a335	FGSG_01649		0	1	0	fgraminearum::FGRAMPH1_01G04023	resolved	fgsg_header_repo_local_mapping	inferred
XP_011317475.1	XP_011317475.1 PNG1 protein [Fusarium graminearum PH-1]	808	8d9ade57f2d5931335cbd243ec09be40e99bad1dbff1e51f02831b99710114d3			0	0	1	fgraminearum::FGRAMPH1_01G04025	resolved	ncbi_protein_id_via_unified_map	
XP_011317476.1	XP_011317476.1 hypothetical protein FGSG_01651 [Fusarium graminearum PH-1]	366	6bfb70768bc2d31087d81fe7e5642249920e7c413ba7bfb51937711e51fd50ba	FGSG_01651		0	1	1	fgraminearum::FGRAMPH1_01G04027	resolved	unified_plus_fgsg_support	
XP_011317477.1	XP_011317477.1 hypothetical protein FGSG_01652 [Fusarium graminearum PH-1]	278	c2c48c98bb941a7e8dea47e13055ee914e7143e2f6bbf4aa515d82d03c5574fc	FGSG_01652	I1RDF6	1	1	1	fgraminearum::FGRAMPH1_01G04029	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317478.1	XP_011317478.1 hypothetical protein FGSG_01653 [Fusarium graminearum PH-1]	263	355e243e0f79c4d0edc20e68f9e4b781e4b57019bcd58b13293903fe2e285389	FGSG_01653	I1RDF7	1	1	1	fgraminearum::FGRAMPH1_01G04031	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317479.1	XP_011317479.1 hypothetical protein FGSG_01654 [Fusarium graminearum PH-1]	510	4cd3598b1746be3dfbd230f5eca28dcb4731aee4f7dbba9e213dfb9bc57f3ba9	FGSG_01654	I1RDF8	1	1	1	fgraminearum::FGRAMPH1_01G04035	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317480.1	XP_011317480.1 hypothetical protein FGSG_01655 [Fusarium graminearum PH-1]	76	1281593a5eae90ba70b9a57270a87761a9aefcf7f6e800da2051542cb795912e	FGSG_01655		0	1	0	fgraminearum::FGRAMPH1_01G04033	resolved	fgsg_header_repo_local_mapping	inferred
XP_011317481.1	XP_011317481.1 ATP-dependent RNA helicase DOB1 [Fusarium graminearum PH-1]	1094	d0ba681e56c6f3d847061a5a8ca5650cb70904c0f51783f9e00836f21077779a		I1RDG0	1	0	1	fgraminearum::FGRAMPH1_01G04037	resolved	exact_sequence_plus_unified_support	
XP_011317482.1	XP_011317482.1 hypothetical protein FGSG_01657 [Fusarium graminearum PH-1]	277	563374c2628315775148106370a0f47b8f7ab201708c8d46720970cf422603f0	FGSG_01657	I1RDG1	1	1	1	fgraminearum::FGRAMPH1_01G04039	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317483.1	XP_011317483.1 hypothetical protein FGSG_01658 [Fusarium graminearum PH-1]	669	78d5adb707ffd6c26699f07adb2102d016b64302b298f10587d39e2b3d569a2c	FGSG_01658		0	1	1	fgraminearum::FGRAMPH1_01G04041	resolved	unified_plus_fgsg_support	
XP_011317484.1	XP_011317484.1 hypothetical protein FGSG_01659 [Fusarium graminearum PH-1]	296	deb84a8df164d7e0d03bd231a38cc873e99748f347b5ad6ac9a2a9c4ba5bfe36	FGSG_01659		0	0	0		unresolved	header_fgsg_not_mapped_to_canonical	unresolved
XP_011317485.1	XP_011317485.1 hypothetical protein FGSG_01660 [Fusarium graminearum PH-1]	259	58fbf2744a0eb0652ea6de0ce476b7dd85b398cd381c2d7575a5fd8b637e6814	FGSG_01660	I1RDG4	1	1	1	fgraminearum::FGRAMPH1_01G04043	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317486.1	XP_011317486.1 hypothetical protein FGSG_01661 [Fusarium graminearum PH-1]	380	066a2f651db44ed7e32f0fdd953800d6e01c57c259455e375d62d3ee76789be8	FGSG_01661	I1RDG5	1	1	1	fgraminearum::FGRAMPH1_01G04045	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317487.1	XP_011317487.1 hypothetical protein FGSG_01662 [Fusarium graminearum PH-1]	545	da8bc66a7d0b3836dea482868b88296eb7ee6889843fe5d232d8fc9bfa707abc	FGSG_01662	I1RDG6	1	1	1	fgraminearum::FGRAMPH1_01G04047	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317488.1	XP_011317488.1 hypothetical protein FGSG_01663 [Fusarium graminearum PH-1]	164	25e799419274a927b79f42a15a8667d9ad890e3513063de5b3a14a28b6023dbb	FGSG_01663		0	1	1	fgraminearum::FGRAMPH1_01G04049	resolved	unified_plus_fgsg_support	
XP_011317489.1	XP_011317489.1 hypothetical protein FGSG_01664 [Fusarium graminearum PH-1]	513	ffe2847cbc0f362290373035124181874fc300f8a1d79b78f9aeba1ba1557bc8	FGSG_01664	I1RDG8	1	1	1	fgraminearum::FGRAMPH1_01G04051	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317490.1	XP_011317490.1 striatin Pro11 [Fusarium graminearum PH-1]	827	27ef077aa7549f802aaf9417ba930fd4ce4780bde05233fad0672b9f44ff5dce		I1RDG9	1	0	1	fgraminearum::FGRAMPH1_01G04053	resolved	exact_sequence_plus_unified_support	
XP_011317491.1	XP_011317491.1 hypothetical protein FGSG_01666 [Fusarium graminearum PH-1]	379	eb9952807d557b36e48c3137debb9acb10a209c30813ffbdfbc849c2132d7507	FGSG_01666	I1RDH0	1	1	1	fgraminearum::FGRAMPH1_01G04055	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317492.1	XP_011317492.1 hypothetical protein FGSG_01667 [Fusarium graminearum PH-1]	191	2c59de573ca9fe9ba67259dc1fd7941e1958a041d3150270a00c7c036ad496df	FGSG_01667	I1RDH1	1	1	1	fgraminearum::FGRAMPH1_01G04057	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317493.1	XP_011317493.1 hypothetical protein FGSG_01668 [Fusarium graminearum PH-1]	427	84a9125141eae72ed235b55e9ac85082d7c813d01164e0ae02d6438ede259858	FGSG_01668	I1RDH2	1	1	1	fgraminearum::FGRAMPH1_01G04059	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317494.1	XP_011317494.1 hypothetical protein FGSG_01669 [Fusarium graminearum PH-1]	207	b3a51926f57b71f8f88630608acb5f2fae5b24223d5f5d3ef05e9bb8936f02bf	FGSG_01669	I1RDH3	1	1	1	fgraminearum::FGRAMPH1_01G04061	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317495.1	XP_011317495.1 hypothetical protein FGSG_01670 [Fusarium graminearum PH-1]	143	fba0ccfa92a6a279b407006b575601e18884487b8c766550cf17070e7a6aa3e1	FGSG_01670	I1RDH4	1	1	1	fgraminearum::FGRAMPH1_01G04063	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317496.1	XP_011317496.1 hypothetical protein FGSG_01671 [Fusarium graminearum PH-1]	304	cb5480a100bb94e91e64a5777cf986723719f820a05fdbb7101db59244feabbb	FGSG_01671	I1RDH5	1	1	1	fgraminearum::FGRAMPH1_01G04065	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317497.1	XP_011317497.1 hypothetical protein FGSG_11983 [Fusarium graminearum PH-1]	148	8e1fd0ce75c1c32707d709cbd8ef633cc87536ede1c6487c2b53413cfed2c2f3	FGSG_11983	I1S565	1	1	1	fgraminearum::FGRAMPH1_01G04067	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317498.1	XP_011317498.1 pyrimidine precursor biosynthesis enzyme THI12 [Fusarium graminearum PH-1]	345	406a288cc90492f89ae10ea4ec05a6568037609035348bf46c46e188c399f35c		I1RDH6	1	0	1	fgraminearum::FGRAMPH1_01G04069	resolved	exact_sequence_plus_unified_support	
XP_011317499.1	XP_011317499.1 hypothetical protein FGSG_01673 [Fusarium graminearum PH-1]	284	34fbe7934d428b5f3300a5a9c409e9d9373bb83920c130efba0c51457694aaa9	FGSG_01673	I1RDH7	1	1	1	fgraminearum::FGRAMPH1_01G04071	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317500.1	XP_011317500.1 hypothetical protein FGSG_01674 [Fusarium graminearum PH-1]	159	4a99a63be799ff7bd09e63441098d27bbbfa14a90561e97de60561eab9ee08fb	FGSG_01674	I1RDH8	1	1	1	fgraminearum::FGRAMPH1_01G04075	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317501.1	XP_011317501.1 dicarboxylic amino acid permease [Fusarium graminearum PH-1]	573	25c2ad8a930c6780348985c01fc899cd8c31f5288971f1c9cf9b2bd4ef5e0d71		I1RDH9	1	0	1	fgraminearum::FGRAMPH1_01G04077	resolved	exact_sequence_plus_unified_support	
XP_011317502.1	XP_011317502.1 hypothetical protein FGSG_01676 [Fusarium graminearum PH-1]	107	40ee3c4f2ab91b9039e239e3232bb10d54fedefde6d527e9918ddda00c58c60f	FGSG_01676		0	1	0	fgraminearum::FGRAMPH1_01G04079	resolved	fgsg_header_repo_local_mapping	inferred
XP_011317503.1	XP_011317503.1 hypothetical protein FGSG_01677 [Fusarium graminearum PH-1]	483	b0c8f0f85680548e132a197ddbc05e318bf0873cce1a33aaae451cd1c759d2f2	FGSG_01677	I1RDI1	1	1	1	fgraminearum::FGRAMPH1_01G04081	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317504.1	XP_011317504.1 hypothetical protein FGSG_01678 [Fusarium graminearum PH-1]	324	29d015f0c4e2a18eb964121951b19bf9a58d83c7c6387d873439b7ed98c9ae76	FGSG_01678	I1RDI2	1	1	1	fgraminearum::FGRAMPH1_01G04083	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317505.1	XP_011317505.1 hypothetical protein FGSG_01679 [Fusarium graminearum PH-1]	459	df1cd7b488b7d92094a85d6c1a1355fa20ee6b86832dbe5669eb0d29e40a1db7	FGSG_01679		0	1	1	fgraminearum::FGRAMPH1_01G04085	resolved	unified_plus_fgsg_support	
XP_011317506.1	XP_011317506.1 hypothetical protein FGSG_01680 [Fusarium graminearum PH-1]	1625	dbaeef1f2fefb0f963047613206f367ae1434a3d397e9154d7b67bfce68a270f	FGSG_01680		0	1	1	fgraminearum::FGRAMPH1_01G04087	resolved	unified_plus_fgsg_support	
XP_011317507.1	XP_011317507.1 hypothetical protein FGSG_01681 [Fusarium graminearum PH-1]	662	4ac6c27c6c1d057e1d05cb05368d88a17dc0a442b4f0b56ff354e6344b8f418c	FGSG_01681		0	1	1	fgraminearum::FGRAMPH1_01G04089	resolved	unified_plus_fgsg_support	
XP_011317508.1	XP_011317508.1 hypothetical protein FGSG_11984 [Fusarium graminearum PH-1]	434	726fff290b0e5768d90809175dbd361741e92a99f768a4bd1fcd82bcc4ae4edd	FGSG_11984	I1S566	1	1	1	fgraminearum::FGRAMPH1_01G04091	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317509.1	XP_011317509.1 hypothetical protein FGSG_11985 [Fusarium graminearum PH-1]	211	227eac648332d066af55d14d79b56a67ad6117df931c49e8fa9872c179730806	FGSG_11985	I1S567	1	1	1	fgraminearum::FGRAMPH1_01G04093	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317510.1	XP_011317510.1 hypothetical protein FGSG_11986 [Fusarium graminearum PH-1]	507	c250d4c220afcf9d97caf8cf878beeaec5c0282498d162a259f369bd6670571f	FGSG_11986	I1S568	1	1	1	fgraminearum::FGRAMPH1_01G04095	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317511.1	XP_011317511.1 hypothetical protein FGSG_11987 [Fusarium graminearum PH-1]	522	1816088331f891098494523989c3755c5cf782d741b6d98070af50c1baf9552d	FGSG_11987	I1S569	1	1	1	fgraminearum::FGRAMPH1_01G04097	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317512.1	XP_011317512.1 hypothetical protein FGSG_11988 [Fusarium graminearum PH-1]	1280	445e81b04c0faa05983f6f02c25b2e4fe25d91b6b29744202efd056f546b36f4	FGSG_11988	I1S570	1	1	1	fgraminearum::FGRAMPH1_01G04099	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317513.1	XP_011317513.1 hypothetical protein FGSG_11989 [Fusarium graminearum PH-1]	1203	a5d9202e57ffbb15039516d687ad0d4278d08589b1ec7e8d94cb0e82fd1160dc	FGSG_11989		0	1	1	fgraminearum::FGRAMPH1_01G04101	resolved	unified_plus_fgsg_support	
XP_011317514.1	XP_011317514.1 hypothetical protein FGSG_01685 [Fusarium graminearum PH-1]	621	ca805ef51a3928a701399c0e686d007763596f9bc085c6eac53d1f5064a3cabd	FGSG_01685	I1RDI6	1	1	1	fgraminearum::FGRAMPH1_01G04103	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317515.1	XP_011317515.1 hypothetical protein FGSG_01686 [Fusarium graminearum PH-1]	361	d0ed3657c99cfa46784aeb29eda9e7a5d2d224356cdfb1a430488d339dfc4b4b	FGSG_01686	V6R556	1	1	1	fgraminearum::FGRAMPH1_01G04105	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317516.1	XP_011317516.1 hypothetical protein FGSG_01687 [Fusarium graminearum PH-1]	306	b18a071fb7b3488ebd25bbaf26a9c76427caefb6c8ab2a4d7b6bae09c6ed2397	FGSG_01687	I1RDI7	1	1	1	fgraminearum::FGRAMPH1_01G04107	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317517.1	XP_011317517.1 hypothetical protein FGSG_01688 [Fusarium graminearum PH-1]	238	71b20eb3ba36efc9e778ae74746d7d7e79fead11823934469149ff45625d9409	FGSG_01688	I1RDI8	1	1	1	fgraminearum::FGRAMPH1_01G04109	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317518.1	XP_011317518.1 hypothetical protein FGSG_01689 [Fusarium graminearum PH-1]	130	7167637fc98e97f9fefbaa3fb9cb0b6d57474832c9dc5fb91c14cb25ec995ccb	FGSG_01689	I1RDI9	1	1	1	fgraminearum::FGRAMPH1_01G04111	resolved	exact_sequence_plus_fgsg_support	exact
XP_011317519.1	XP_011317519.1 hypothetical protein FGSG_01690 [Fusarium graminearum PH-1]	1696	d119098c513d62a259f243f541439a7205e786094157434bc982946d6c4aca5f	FGSG_01690		0	1	1	fgraminearum::FGRAMPH1_01G04113	resolved	unified_plus_fgsg_support	
