yeast_support_source	support_type	orthogroup_id	canonical_fusarium_gene_id	bridge_resolved	bridge_method	mapping_confidence	bridge_evidence_path	passes_fusarium_filtering	weak_positive_confidence	occupancy_count	occupancy_fraction	fg_mean_copy_18	fg_median_copy_18	fg_max_copy_18	fg_single_copy_fraction_18	copy_status	single_copy_or_near_single_copy	single_copy_orthofinder_listed	orthogroup_member_count_total	ph1_copy_count_from_membership	in_final_positive_set	in_high_confidence_set	in_final_label_set	is_lethal_supported_positive	final_label_class	final_label_bucket	ph1_gene_ids	scer_essential_gene_ids	spom_essential_gene_ids	source_row_count	yeast_gene	yeast_species
both	both	OG0001201	fgraminearum::FGRAMPH1_01G10513	yes	ncbi_protein_id_via_unified_map		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011320077.1	YDL084W	SPAC17G6.14c.1:pep	1	YDL084W	both
spom_only	spom_only	OG0001206	fgraminearum::FGRAMPH1_01G02049	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011316532.1		SPAC16E8.07c.1:pep	1	SPAC16E8.07c.1:pep	spom
both	both	OG0001207	fgraminearum::FGRAMPH1_01G02051	yes	ncbi_protein_id_via_unified_map		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011316533.1	YLR277C	SPAC17G6.16c.1:pep	1	YLR277C	both
scer_only	scer_only	OG0001209	fgraminearum::FGRAMPH1_01G02181	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011316598.1	YDR353W		1	YDR353W	scer
both	both	OG0001210	fgraminearum::FGRAMPH1_01G02187	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011316601.1	YJL081C	SPBP23A10.08.1:pep	1	YJL081C	both
scer_only	scer_only	OG0001211	fgraminearum::FGRAMPH1_01G02089	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	2	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011316551.1;XP_011316552.1	YKL089W		2	YKL089W	scer
both	both	OG0001213	fgraminearum::FGRAMPH1_01G24057	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011326849.1	YIL026C	SPAC17H9.20.1:pep	1	YIL026C	both
spom_only	spom_only	OG0001217	fgraminearum::FGRAMPH1_01G24237	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011326937.1		SPCC1223.08c.1:pep	1	SPCC1223.08c.1:pep	spom
spom_only	spom_only	OG0001226	fgraminearum::FGRAMPH1_01G27691	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011328582.1		SPCC162.09c.1:pep	1	SPCC162.09c.1:pep	spom
both	both	OG0001235	fgraminearum::FGRAMPH1_01G07041	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011318922.1	YEL026W	SPAC607.03c.1:pep	1	YEL026W	both
spom_only	spom_only	OG0001252	fgraminearum::FGRAMPH1_01G24887	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011327240.1		SPBC2D10.11c.1:pep;SPCC364.06.1:pep	1	SPBC2D10.11c.1:pep	spom
spom_only	spom_only	OG0001259	fgraminearum::FGRAMPH1_01G24009	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011326825.1		SPAC11E3.02c.1:pep	1	SPAC11E3.02c.1:pep	spom
both	both	OG0001264	fgraminearum::FGRAMPH1_01G09931	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011320347.1	YER148W	SPAC29E6.08.1:pep	1	YER148W	both
spom_only	spom_only	OG0001265	fgraminearum::FGRAMPH1_01G10065	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011320286.1		SPBC29A3.04.1:pep	1	SPBC29A3.04.1:pep	spom
spom_only	spom_only	OG0001266	fgraminearum::FGRAMPH1_01G10081	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011320278.1		SPCC162.07.1:pep	1	SPCC162.07.1:pep	spom
spom_only	spom_only	OG0001268	fgraminearum::FGRAMPH1_01G01257	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011316164.1		SPAC3C7.11c.1:pep	1	SPAC3C7.11c.1:pep	spom
spom_only	spom_only	OG0001269	fgraminearum::FGRAMPH1_01G01305	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	medium	18	1.0000	1.1111	1.0	2	0.8889	strict_core_multicopy	no	no	21	1	no	no	no	no	Excluded		XP_011316186.1		SPBC337.12.1:pep	1	SPBC337.12.1:pep	spom
both	both	OG0001272	fgraminearum::FGRAMPH1_01G22791	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011326258.1	YKR079C	SPAC1D4.10.1:pep;SPBC3D6.03c.1:pep	1	YKR079C	both
both	both	OG0001273	fgraminearum::FGRAMPH1_01G22837	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011326280.1	YNR026C	SPBC3H7.01.1:pep	1	YNR026C	both
both	both	OG0001275	fgraminearum::FGRAMPH1_01G22911	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011326316.1	YPR186C	SPAC144.09c.1:pep	1	YPR186C	both
spom_only	spom_only	OG0001282	fgraminearum::FGRAMPH1_01G22959	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	2	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011326339.1;XP_011326340.1		SPAC19A8.13.1:pep	2	SPAC19A8.13.1:pep	spom
both	both	OG0001285	fgraminearum::FGRAMPH1_01G27407	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011328451.1	YDR052C	SPCC550.13.1:pep	1	YDR052C	both
scer_only	scer_only	OG0001288	fgraminearum::FGRAMPH1_01G27107	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011328305.1	YDL147W		1	YDL147W	scer
scer_only	scer_only	OG0001294	fgraminearum::FGRAMPH1_01G07633	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011319195.1	YGL030W		1	YGL030W	scer
spom_only	spom_only	OG0001304	fgraminearum::FGRAMPH1_01G16791	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011323455.1		SPAC8F11.04.1:pep	1	SPAC8F11.04.1:pep	spom
spom_only	spom_only	OG0001315	fgraminearum::FGRAMPH1_01G18397	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011324204.1		SPAC23A1.16c.1:pep	1	SPAC23A1.16c.1:pep	spom
spom_only	spom_only	OG0001317	fgraminearum::FGRAMPH1_01G18477	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011324242.1		SPAC890.06.1:pep	1	SPAC890.06.1:pep	spom
spom_only	spom_only	OG0001325	fgraminearum::FGRAMPH1_01G10651	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011320013.1		SPAC4A8.05c.1:pep;SPCC645.05c.1:pep	1	SPAC4A8.05c.1:pep	spom
spom_only	spom_only	OG0001329	fgraminearum::FGRAMPH1_01G10723	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011319982.1		SPBC409.15.1:pep	1	SPBC409.15.1:pep	spom
both	both	OG0001332	fgraminearum::FGRAMPH1_01G17451	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011323755.1	YNL124W	SPBC30D10.15.1:pep	1	YNL124W	both
scer_only	scer_only	OG0001336	fgraminearum::FGRAMPH1_01G17851	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011323945.1	YKL018W		1	YKL018W	scer
spom_only	spom_only	OG0001337	fgraminearum::FGRAMPH1_01G25925	yes	ncbi_protein_id_via_unified_map		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011327729.1		SPAC10F6.03c.1:pep	1	SPAC10F6.03c.1:pep	spom
spom_only	spom_only	OG0001339	fgraminearum::FGRAMPH1_01G26067	yes	ncbi_protein_id_via_unified_map		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011327799.1		SPCC790.03.1:pep	1	SPCC790.03.1:pep	spom
both	both	OG0001340	fgraminearum::FGRAMPH1_01G00771	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011315933.1	YOL139C	SPAC16E8.15.1:pep	1	YOL139C	both
both	both	OG0001342	fgraminearum::FGRAMPH1_01G00979	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011316032.1	YGL044C	SPAC644.16.1:pep	1	YGL044C	both
spom_only	spom_only	OG0001344	fgraminearum::FGRAMPH1_01G01013	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011316049.1		SPBC32F12.10.1:pep	1	SPBC32F12.10.1:pep	spom
scer_only	scer_only	OG0001345	fgraminearum::FGRAMPH1_01G01033	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011316057.1	YOL040C		1	YOL040C	scer
spom_only	spom_only	OG0001347	fgraminearum::FGRAMPH1_01G01095	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011316087.1		SPBC14F5.05c.1:pep	1	SPBC14F5.05c.1:pep	spom
both	both	OG0001350	fgraminearum::FGRAMPH1_01G01045	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	2	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011316062.1;XP_011316063.1	YAL043C	SPAC1071.01c.1:pep	2	YAL043C	both
spom_only	spom_only	OG0001361	fgraminearum::FGRAMPH1_01G27043	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011328270.1		SPBC16H5.02.1:pep	1	SPBC16H5.02.1:pep	spom
spom_only	spom_only	OG0001362	fgraminearum::FGRAMPH1_01G26993	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011328247.1		SPAC806.06c.1:pep	1	SPAC806.06c.1:pep	spom
spom_only	spom_only	OG0001368	fgraminearum::FGRAMPH1_01G07971	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011319354.1		SPBC725.16.1:pep	1	SPBC725.16.1:pep	spom
spom_only	spom_only	OG0001369	fgraminearum::FGRAMPH1_01G08011	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011319372.1		SPCC1259.07.1:pep	1	SPCC1259.07.1:pep	spom
spom_only	spom_only	OG0001371	fgraminearum::FGRAMPH1_01G08125	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011319423.1		SPAC1F8.07c.1:pep	1	SPAC1F8.07c.1:pep	spom
spom_only	spom_only	OG0001376	fgraminearum::FGRAMPH1_01G26111	yes	ncbi_protein_id_via_unified_map		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011327820.1		SPCC622.09.1:pep	1	SPCC622.09.1:pep	spom
both	both	OG0001377	fgraminearum::FGRAMPH1_01G05951	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011318408.1	YOR095C	SPAC144.12.1:pep	1	YOR095C	both
both	both	OG0001378	fgraminearum::FGRAMPH1_01G05985	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011318424.1	YOL127W	SPBC106.18.1:pep	1	YOL127W	both
spom_only	spom_only	OG0001380	fgraminearum::FGRAMPH1_01G06013	yes	ncbi_protein_id_via_unified_map		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011318438.1		SPAC13G6.05c.1:pep	1	SPAC13G6.05c.1:pep	spom
both	both	OG0001387	fgraminearum::FGRAMPH1_01G06547	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011318687.1	YJL090C	SPAC23C4.18c.1:pep	1	YJL090C	both
scer_only	scer_only	OG0001397	fgraminearum::FGRAMPH1_01G14649	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011321461.1	YDR170C		1	YDR170C	scer
scer_only	scer_only	OG0001408	fgraminearum::FGRAMPH1_01G19301	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011324638.1	YJR123W		1	YJR123W	scer
scer_only	scer_only	OG0001410	fgraminearum::FGRAMPH1_01G19417	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011324694.1	YPL016W		1	YPL016W	scer
both	both	OG0001412	fgraminearum::FGRAMPH1_01G19463	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	yes	Positive_High	lethal_plus_high_confidence_yeast_transfer	XP_011324713.1	YHR099W	SPAC1F5.11c.1:pep	1	YHR099W	both
both	both	OG0001417	fgraminearum::FGRAMPH1_01G19717	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011324832.1	YBL034C	SPAC3G9.12.1:pep	1	YBL034C	both
both	both	OG0001419	fgraminearum::FGRAMPH1_01G19751	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011324846.1	YCL059C	SPBC25B2.05.1:pep	1	YCL059C	both
both	both	OG0001421	fgraminearum::FGRAMPH1_01G19953	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011324940.1	YOR063W	SPAC17A5.03.1:pep	1	YOR063W	both
both	both	OG0001422	fgraminearum::FGRAMPH1_01G08337	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011319522.1	YLR045C	SPCC736.14.1:pep	1	YLR045C	both
spom_only	spom_only	OG0001426	fgraminearum::FGRAMPH1_01G01705	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	yes	Positive_High	lethal_plus_high_confidence_yeast_transfer	XP_011316374.1		SPAC23C11.11.1:pep	1	SPAC23C11.11.1:pep	spom
spom_only	spom_only	OG0001427	fgraminearum::FGRAMPH1_01G01733	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	yes	Positive_High	lethal_plus_high_confidence_yeast_transfer	XP_011316388.1		SPBC19F5.03.1:pep	1	SPBC19F5.03.1:pep	spom
scer_only	scer_only	OG0001432	fgraminearum::FGRAMPH1_01G25827	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011327684.1	YGL103W		1	YGL103W	scer
both	both	OG0001438	fgraminearum::FGRAMPH1_01G02581	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0556	1.0	2	0.9444	near_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011316784.1	YJL194W	SPBC14C8.07c.1:pep	1	YJL194W	both
scer_only	scer_only	OG0001439	fgraminearum::FGRAMPH1_01G02817	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011316900.1	YEL058W		1	YEL058W	scer
both	both	OG0001443	fgraminearum::FGRAMPH1_01G20305	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	high	18	1.0000	1.0000	1.0	1	1.0000	exact_single_copy_core	yes	no	21	1	yes	yes	yes	no	Positive_High	high_confidence_yeast_transfer_positive	XP_011325688.1	YCR052W	SPAC23G3.10c.1:pep	1	YCR052W	both
